neighbourhood,price
Allerton,187.0
Arden Heights,170.0
Arrochar,212.5
Arverne,182.025
Astoria,117.45581395348837
Bath Beach,193.3
Battery Park City,296.04347826086956
Bay Ridge,123.0204081632653
Bay Terrace,253.0
Baychester,105.3076923076923
Bayside,191.2
Bayswater,154.2
Bedford-Stuyvesant,165.4504716981132
Bellerose,141.875
Belmont,113.125
Bensonhurst,134.8421052631579
Bergen Beach,261.57142857142856
Boerum Hill,219.9787234042553
Borough Park,119.1304347826087
Breezy Point,167.5
Briarwood,186.1
Brighton Beach,154.75
Bronxdale,100.75
Brooklyn Heights,217.2941176470588
Brownsville,145.2
Bull's Head,271.3333333333333
Bushwick,128.60902255639098
Cambria Heights,184.42105263157896
Canarsie,139.27906976744185
Carroll Gardens,233.63793103448276
Castle Hill,100.0
Castleton Corners,82.33333333333333
Chelsea,296.81226053639847
Chinatown,257.75308641975306
City Island,136.0
Civic Center,153.14285714285714
Claremont Village,82.11111111111111
Clason Point,102.0
Clifton,118.16666666666667
Clinton Hill,188.9795918367347
Co-op City,117.5
Cobble Hill,205.7058823529412
College Point,148.76923076923077
Columbia St,140.2
Concord,94.0
Concourse,126.66666666666667
Concourse Village,104.8
Coney Island,85.0
Corona,120.65
Crown Heights,156.8403361344538
Cypress Hills,125.72727272727273
DUMBO,290.25
Ditmars Steinway,131.57534246575344
Douglaston,54.0
Downtown Brooklyn,273.3125
Dyker Heights,171.6
East Elmhurst,129.23809523809524
East Flatbush,135.98089171974522
East Harlem,159.3390557939914
East Morrisania,168.0
East New York,132.6448598130841
East Village,219.19553072625698
Eastchester,172.5
Edenwald,101.33333333333333
Edgemere,184.88888888888889
Elmhurst,104.27659574468085
Eltingville,199.0
Emerson Hill,76.0
Far Rockaway,168.36363636363637
Fieldston,108.5
Financial District,334.7672955974843
Flatbush,148.3312101910828
Flatiron District,382.6969696969697
Flatlands,141.5909090909091
Flushing,114.88235294117646
Fordham,98.5
Forest Hills,127.57575757575758
Fort Greene,178.95192307692307
Fort Hamilton,112.5
Fresh Meadows,131.8
Gerritsen Beach,300.0
Glendale,126.8
Gowanus,247.33333333333334
Gramercy,194.27906976744185
Graniteville,99.0
Grant City,125.0
Gravesend,153.88888888888889
Greenpoint,200.2962962962963
Greenwich Village,287.5068493150685
Grymes Hill,300.0
Harlem,147.66394779771616
Hell's Kitchen,289.05325443786984
Highbridge,76.0
Hollis,109.5
Holliswood,75.0
Howard Beach,140.57142857142858
Huguenot,148.5
Hunts Point,78.33333333333333
Inwood,133.2
Jackson Heights,102.04444444444445
Jamaica,130.35714285714286
Jamaica Estates,156.73333333333332
Jamaica Hills,127.75
Kensington,167.19354838709677
Kew Gardens,132.3125
Kew Gardens Hills,140.0
Kingsbridge,118.54166666666667
Kips Bay,233.74015748031496
Laurelton,98.5
Lighthouse Hill,250.0
Little Italy,237.05882352941177
Long Island City,210.51677852348993
Longwood,118.93333333333334
Lower East Side,223.78761061946904
Manhattan Beach,152.0
Marble Hill,213.0
Mariners Harbor,111.7
Maspeth,133.19444444444446
Melrose,75.33333333333333
Middle Village,155.44444444444446
Midland Beach,157.66666666666666
Midtown,363.28821656050957
Midwood,152.96296296296296
Mill Basin,194.0
Morningside Heights,125.96551724137932
Morris Heights,77.57142857142857
Morris Park,90.25
Morrisania,102.6
Mott Haven,175.18421052631578
Mount Eden,89.16666666666667
Mount Hope,141.88888888888889
Murray Hill,353.4206896551724
Navy Yard,1108.5
New Brighton,58.0
New Dorp Beach,149.33333333333334
NoHo,286.25
Nolita,227.44927536231884
North Riverdale,158.57142857142858
Norwood,104.46666666666667
Oakwood,137.5
Olinville,149.2
Ozone Park,114.89285714285714
Park Slope,229.72380952380954
Parkchester,187.75
Pelham Bay,161.57142857142858
Pelham Gardens,227.5
Port Morris,194.35714285714286
Port Richmond,73.0
Prince's Bay,368.0
Prospect Heights,197.6764705882353
Prospect-Lefferts Gardens,153.21818181818182
Queens Village,171.96774193548387
Randall Manor,89.0
Red Hook,193.54545454545453
Rego Park,124.77777777777777
Richmond Hill,112.85714285714286
Richmondtown,150.0
Ridgewood,133.99019607843138
Riverdale,65.0
Rockaway Beach,189.1904761904762
Roosevelt Island,105.58333333333333
Rosebank,94.0
Rosedale,129.97058823529412
Rossville,60.0
Schuylerville,75.75
Sea Gate,116.88888888888889
Sheepshead Bay,184.73469387755102
Shore Acres,148.57142857142858
Silver Lake,195.0
SoHo,454.8
Soundview,145.55555555555554
South Beach,120.0
South Ozone Park,176.925
South Slope,178.46428571428572
Springfield Gardens,160.84375
Spuyten Duyvil,223.0
St. Albans,156.6122448979592
St. George,131.5
Stapleton,132.75
Stuyvesant Town,281.90909090909093
Sunnyside,148.88888888888889
Sunset Park,127.7051282051282
Theater District,536.6363636363636
Throgs Neck,133.8
Todt Hill,349.0
Tompkinsville,191.3
Tremont,115.85714285714286
Tribeca,591.8863636363636
Two Bridges,147.25
Unionport,148.5
University Heights,172.0
Upper East Side,214.98896247240617
Upper West Side,229.67561521252796
Van Nest,116.14285714285714
Vinegar Hill,222.58333333333334
Wakefield,106.26470588235294
Washington Heights,129.12777777777777
West Brighton,84.0
West Farms,80.0
West Village,304.63513513513516
Westchester Square,127.5
Whitestone,110.7
Williamsbridge,125.86666666666666
Williamsburg,200.02972972972972
Willowbrook,199.0
Windsor Terrace,142.39285714285714
Woodhaven,94.25
Woodlawn,139.0
Woodrow,65.0
Woodside,148.52
